,location,total_sqft,bath,price,bhk
62,5th Phase JP Nagar,600.0,1.0,30.0,1
63,5th Phase JP Nagar,1390.0,2.0,65.0,2
64,5th Phase JP Nagar,1256.0,2.0,62.8,2
65,5th Phase JP Nagar,1000.0,2.0,48.0,2
66,5th Phase JP Nagar,1350.0,2.0,75.0,3
67,5th Phase JP Nagar,552.0,1.0,23.5,1
68,5th Phase JP Nagar,1200.0,2.0,51.0,2
69,5th Phase JP Nagar,1030.0,2.0,57.0,2
70,5th Phase JP Nagar,1200.0,2.0,68.0,2
71,5th Phase JP Nagar,1190.0,2.0,61.8,2
72,5th Phase JP Nagar,4000.0,5.0,170.0,5
73,5th Phase JP Nagar,1080.0,2.0,53.0,2
74,5th Phase JP Nagar,1041.0,2.0,54.0,2
75,5th Phase JP Nagar,812.0,2.0,42.0,2
76,5th Phase JP Nagar,1010.0,2.0,57.0,2
77,5th Phase JP Nagar,1075.0,2.0,60.0,2
78,6th Phase JP Nagar,1192.0,2.0,74.0,2
79,6th Phase JP Nagar,1180.0,2.0,80.0,2
80,6th Phase JP Nagar,3245.0,4.0,250.0,4
81,6th Phase JP Nagar,1645.0,3.0,100.0,3
82,6th Phase JP Nagar,1140.0,2.0,65.0,2
83,6th Phase JP Nagar,2040.0,3.0,200.0,3
84,6th Phase JP Nagar,1213.0,2.0,63.0,2
85,6th Phase JP Nagar,1216.0,2.0,60.0,2
86,6th Phase JP Nagar,1460.0,2.0,80.0,2
87,6th Phase JP Nagar,2003.0,3.0,200.0,3
88,6th Phase JP Nagar,1810.0,3.0,131.0,3
89,6th Phase JP Nagar,1515.0,2.0,135.0,3
90,6th Phase JP Nagar,1192.0,2.0,75.0,2
91,6th Phase JP Nagar,1280.0,2.0,88.0,2
92,7th Phase JP Nagar,1080.0,2.0,72.0,2
93,7th Phase JP Nagar,1270.0,2.0,93.0,2
94,7th Phase JP Nagar,1420.0,2.0,100.0,3
95,7th Phase JP Nagar,1850.0,3.0,150.0,3
96,7th Phase JP Nagar,1245.0,2.0,94.0,2
97,7th Phase JP Nagar,1175.0,2.0,82.0,2
98,7th Phase JP Nagar,1400.0,2.0,95.0,3
99,7th Phase JP Nagar,2225.0,3.0,160.0,3
100,7th Phase JP Nagar,1050.0,2.0,71.0,2
101,7th Phase JP Nagar,1100.0,2.0,46.0,2
102,7th Phase JP Nagar,918.0,2.0,50.49,2
103,7th Phase JP Nagar,1450.0,2.0,100.0,3
104,7th Phase JP Nagar,1190.0,2.0,49.98,2
105,7th Phase JP Nagar,1420.0,2.0,96.0,3
106,7th Phase JP Nagar,1680.0,3.0,120.0,3
107,7th Phase JP Nagar,980.0,2.0,69.0,2
108,7th Phase JP Nagar,1180.0,2.0,72.0,2
109,7th Phase JP Nagar,1400.0,3.0,115.0,3
110,7th Phase JP Nagar,1270.0,2.0,83.0,2
111,7th Phase JP Nagar,2503.0,4.0,188.0,4
112,7th Phase JP Nagar,2200.0,3.0,190.0,3
113,7th Phase JP Nagar,1575.0,2.0,110.0,3
114,7th Phase JP Nagar,1850.0,3.0,140.0,3
115,7th Phase JP Nagar,1575.0,2.0,120.0,3
116,7th Phase JP Nagar,1850.0,3.0,150.0,3
117,7th Phase JP Nagar,1680.0,3.0,120.0,3
118,7th Phase JP Nagar,1175.0,2.0,82.5,2
119,7th Phase JP Nagar,1215.0,2.0,90.0,2
120,7th Phase JP Nagar,1050.0,2.0,75.0,2
121,7th Phase JP Nagar,1300.0,3.0,89.13,3
122,7th Phase JP Nagar,1130.0,2.0,73.0,2
123,7th Phase JP Nagar,1450.0,3.0,100.0,3
124,7th Phase JP Nagar,1050.0,2.0,50.0,2
125,7th Phase JP Nagar,1275.0,2.0,87.0,2
126,7th Phase JP Nagar,1650.0,3.0,110.0,3
127,7th Phase JP Nagar,850.0,2.0,42.0,2
128,7th Phase JP Nagar,1680.0,3.0,117.0,3
129,7th Phase JP Nagar,1850.0,3.0,150.0,3
130,7th Phase JP Nagar,1236.0,2.0,61.33,2
131,7th Phase JP Nagar,1000.0,2.0,53.0,2
132,7th Phase JP Nagar,1680.0,3.0,125.0,3
133,7th Phase JP Nagar,1675.0,2.0,135.0,3
134,7th Phase JP Nagar,1187.0,2.0,59.0,2
135,7th Phase JP Nagar,1850.0,3.0,155.0,3
136,7th Phase JP Nagar,1000.0,2.0,61.0,2
137,7th Phase JP Nagar,1460.0,2.0,100.0,3
138,7th Phase JP Nagar,1650.0,3.0,110.0,3
139,7th Phase JP Nagar,1200.0,2.0,62.5,2
140,7th Phase JP Nagar,1000.0,2.0,70.65,2
141,7th Phase JP Nagar,1080.0,2.0,75.0,2
142,7th Phase JP Nagar,1680.0,3.0,125.0,3
143,7th Phase JP Nagar,1460.0,2.0,97.0,3
144,7th Phase JP Nagar,1120.0,2.0,65.0,2
145,7th Phase JP Nagar,1100.0,3.0,60.0,2
146,7th Phase JP Nagar,1790.0,3.0,120.0,3
147,7th Phase JP Nagar,1680.0,3.0,117.0,3
148,7th Phase JP Nagar,1050.0,2.0,77.0,2
149,7th Phase JP Nagar,1050.0,2.0,75.0,2
150,7th Phase JP Nagar,1040.0,2.0,75.0,2
151,7th Phase JP Nagar,1400.0,2.0,95.0,3
152,7th Phase JP Nagar,1800.0,3.0,130.0,3
153,7th Phase JP Nagar,1050.0,2.0,68.0,2
154,7th Phase JP Nagar,1000.0,2.0,60.0,2
155,7th Phase JP Nagar,1680.0,3.0,125.0,3
156,7th Phase JP Nagar,1050.0,2.0,77.47,2
157,7th Phase JP Nagar,1270.0,2.0,80.0,2
158,7th Phase JP Nagar,1680.0,3.0,122.0,3
159,7th Phase JP Nagar,1130.0,2.0,85.0,2
160,7th Phase JP Nagar,1680.0,3.0,130.0,3
161,7th Phase JP Nagar,980.0,2.0,77.44,2
162,7th Phase JP Nagar,1680.0,3.0,112.0,3
163,7th Phase JP Nagar,2095.0,3.0,150.0,3
164,7th Phase JP Nagar,1976.0,3.0,145.0,3
165,7th Phase JP Nagar,1600.0,2.0,110.0,3
166,7th Phase JP Nagar,1765.0,3.0,118.0,3
167,7th Phase JP Nagar,1275.0,2.0,88.0,3
168,7th Phase JP Nagar,1450.0,2.0,102.0,3
169,7th Phase JP Nagar,1575.0,2.0,110.0,3
170,7th Phase JP Nagar,750.0,1.0,47.0,1
171,7th Phase JP Nagar,990.0,2.0,50.0,2
172,7th Phase JP Nagar,1000.0,1.0,60.0,1
173,7th Phase JP Nagar,1430.0,2.0,102.0,3
174,7th Phase JP Nagar,1128.0,2.0,60.0,2
175,7th Phase JP Nagar,1140.0,2.0,57.0,2
176,7th Phase JP Nagar,1420.0,3.0,90.0,3
177,7th Phase JP Nagar,1530.0,2.0,108.0,2
178,8th Phase JP Nagar,1073.5,2.0,54.005,2
179,8th Phase JP Nagar,451.0,1.0,29.9,1
180,8th Phase JP Nagar,1062.0,2.0,42.47,2
181,8th Phase JP Nagar,1455.0,3.0,73.31,3
182,8th Phase JP Nagar,871.0,2.0,55.0,2
183,8th Phase JP Nagar,1098.0,2.0,43.91,2
184,8th Phase JP Nagar,1800.0,3.0,80.0,3
185,8th Phase JP Nagar,2700.0,4.0,130.0,4
186,8th Phase JP Nagar,1080.0,2.0,38.0,2
187,8th Phase JP Nagar,1059.0,2.0,34.5,2
188,8th Phase JP Nagar,1080.0,2.0,35.0,2
189,8th Phase JP Nagar,1062.0,2.0,42.47,2
190,8th Phase JP Nagar,500.0,1.0,31.0,1
191,8th Phase JP Nagar,1100.0,2.0,35.0,2
192,8th Phase JP Nagar,2100.0,4.0,92.0,4
193,8th Phase JP Nagar,1035.0,2.0,39.33,2
194,8th Phase JP Nagar,909.0,2.0,40.9,2
195,8th Phase JP Nagar,1431.5,3.0,72.02,3
196,8th Phase JP Nagar,1900.0,4.0,90.0,3
197,8th Phase JP Nagar,500.0,1.0,30.0,1
198,8th Phase JP Nagar,1125.0,2.0,36.94,2
199,8th Phase JP Nagar,1100.0,2.0,35.0,2
200,8th Phase JP Nagar,1089.0,2.0,43.55,2
201,8th Phase JP Nagar,1504.0,2.0,83.0,3
202,8th Phase JP Nagar,2600.0,4.0,115.0,4
203,8th Phase JP Nagar,1089.0,2.0,43.55,2
204,8th Phase JP Nagar,1513.0,2.0,62.0,2
205,8th Phase JP Nagar,1298.0,2.0,59.0,2
206,8th Phase JP Nagar,1006.0,2.0,44.0,2
207,8th Phase JP Nagar,500.0,1.0,33.0,1
208,8th Phase JP Nagar,1160.0,2.0,95.0,2
209,8th Phase JP Nagar,1245.0,2.0,59.0,2
210,8th Phase JP Nagar,1510.0,2.0,80.0,2
211,8th Phase JP Nagar,3300.0,3.0,165.0,3
212,8th Phase JP Nagar,1730.0,5.0,75.0,5
213,8th Phase JP Nagar,1046.0,2.0,48.0,2
214,8th Phase JP Nagar,1408.0,3.0,80.0,3
215,9th Phase JP Nagar,1005.0,2.0,50.0,2
216,9th Phase JP Nagar,1100.0,2.0,65.0,2
217,9th Phase JP Nagar,1080.0,2.0,37.0,2
218,9th Phase JP Nagar,1035.0,2.0,45.0,2
219,9th Phase JP Nagar,5000.0,4.0,290.0,4
220,9th Phase JP Nagar,1164.0,2.0,56.0,2
221,9th Phase JP Nagar,1005.0,2.0,42.0,2
222,9th Phase JP Nagar,1127.0,2.0,50.0,2
223,9th Phase JP Nagar,1005.0,2.0,43.0,2
224,9th Phase JP Nagar,835.0,2.0,37.0,2
225,9th Phase JP Nagar,1050.0,2.0,39.0,2
226,9th Phase JP Nagar,660.0,2.0,27.0,2
227,9th Phase JP Nagar,600.0,1.0,20.0,1
228,9th Phase JP Nagar,1466.0,2.0,71.0,2
229,9th Phase JP Nagar,1890.0,2.0,93.0,3
230,9th Phase JP Nagar,1079.0,2.0,60.0,2
231,9th Phase JP Nagar,1480.0,2.0,80.0,2
232,9th Phase JP Nagar,1200.0,2.0,80.0,2
233,9th Phase JP Nagar,905.0,2.0,32.0,2
234,9th Phase JP Nagar,1073.0,2.0,52.36,2
235,9th Phase JP Nagar,1719.3,2.0,88.0,3
236,9th Phase JP Nagar,1780.0,3.0,88.0,3
237,9th Phase JP Nagar,1522.0,3.0,90.0,3
238,9th Phase JP Nagar,890.0,2.0,45.0,2
239,9th Phase JP Nagar,5000.0,4.0,300.0,4
240,9th Phase JP Nagar,1050.0,2.0,35.0,2
241,9th Phase JP Nagar,1331.95,2.0,69.0,2
242,AECS Layout,1100.0,2.0,45.0,2
243,AECS Layout,1028.0,2.0,42.0,2
244,AECS Layout,1199.0,2.0,65.0,2
245,AECS Layout,1080.0,2.0,55.0,2
246,AECS Layout,1123.0,2.0,64.0,2
247,AECS Layout,1308.0,2.0,60.0,2
248,AECS Layout,1005.0,2.0,55.0,2
249,Abbigere,985.0,2.0,40.39,2
250,Abbigere,2200.0,6.0,68.0,6
251,Abbigere,765.0,2.0,30.0,1
252,Abbigere,880.0,2.0,35.0,2
253,Abbigere,795.0,2.0,32.54,2
254,Abbigere,1005.0,2.0,39.59,2
255,Abbigere,734.0,1.0,19.82,1
256,Abbigere,1020.0,2.0,41.82,2
257,Abbigere,985.0,2.0,40.39,2
258,Abbigere,2500.0,6.0,81.0,6
259,Abbigere,795.0,2.0,32.54,2
260,Abbigere,1130.0,2.0,46.33,2
261,Abbigere,795.0,1.0,32.6,2
262,Abbigere,3000.0,8.0,150.0,8
263,Abbigere,985.0,2.0,38.92,2
264,Abbigere,1000.0,2.0,41.0,2
265,Abbigere,995.0,2.0,40.8,2
266,Abbigere,1020.0,2.0,40.8,2
267,Akshaya Nagar,1388.0,2.0,57.0,2
268,Akshaya Nagar,1070.0,2.0,54.0,2
269,Akshaya Nagar,1280.0,2.0,58.0,2
270,Akshaya Nagar,1662.0,3.0,85.1,3
271,Akshaya Nagar,1897.0,3.0,120.0,3
272,Akshaya Nagar,1410.0,2.0,75.0,3
273,Akshaya Nagar,1360.0,2.0,85.0,3
274,Akshaya Nagar,1410.0,2.0,80.0,3
275,Akshaya Nagar,1662.0,3.0,85.0,3
276,Akshaya Nagar,1662.0,3.0,85.5,3
277,Akshaya Nagar,1280.0,2.0,60.0,2
278,Akshaya Nagar,1666.0,3.0,95.0,3
279,Akshaya Nagar,1575.0,3.0,90.0,3
280,Akshaya Nagar,1430.0,2.0,75.0,3
281,Akshaya Nagar,1419.0,2.0,73.0,3
282,Akshaya Nagar,1280.0,2.0,60.0,2
283,Akshaya Nagar,1200.0,2.0,50.0,2
284,Akshaya Nagar,1092.0,2.0,60.0,2
285,Akshaya Nagar,1690.0,3.0,85.0,3
286,Akshaya Nagar,1897.0,4.0,93.0,3
287,Akshaya Nagar,1884.0,3.0,98.0,3
288,Akshaya Nagar,1314.0,2.0,68.8,2
289,Akshaya Nagar,1690.0,3.0,85.0,3
290,Akshaya Nagar,1265.0,2.0,67.0,2
291,Akshaya Nagar,1126.0,2.0,55.0,2
292,Akshaya Nagar,1662.0,3.0,90.0,3
293,Akshaya Nagar,1420.0,2.0,75.0,3
294,Akshaya Nagar,1412.0,2.0,88.0,3
295,Akshaya Nagar,1434.0,3.0,84.0,3
296,Akshaya Nagar,1890.0,4.0,100.0,3
297,Akshaya Nagar,1419.0,2.0,87.0,3
298,Akshaya Nagar,1300.0,2.0,54.0,2
299,Akshaya Nagar,1690.0,3.0,85.0,3
300,Akshaya Nagar,1113.0,2.0,52.0,2
301,Akshaya Nagar,1820.0,4.0,95.0,3
302,Akshaya Nagar,1100.0,2.0,48.0,2
303,Akshaya Nagar,1896.0,3.0,102.0,3
304,Akshaya Nagar,1300.0,2.0,66.0,2
305,Akshaya Nagar,1225.0,2.0,68.0,2
306,Akshaya Nagar,1179.0,2.0,51.0,2
307,Akshaya Nagar,1421.0,2.0,73.0,3
308,Akshaya Nagar,1893.0,4.0,95.0,3
309,Akshaya Nagar,900.0,2.0,45.0,2
310,Ambalipura,1105.0,2.0,75.0,2
311,Ambalipura,1800.0,3.0,110.0,3
312,Ambalipura,1150.0,2.0,80.0,2
313,Ambalipura,1250.0,2.0,66.25,2
314,Ambalipura,1332.0,2.0,79.0,2
315,Ambalipura,1730.0,3.0,120.0,3
316,Ambalipura,1230.0,2.0,66.25,2
317,Ambalipura,1351.0,2.0,77.0,2
318,Ambalipura,1303.0,2.0,80.0,2
319,Ambalipura,1607.0,2.0,112.0,3
320,Ambalipura,770.0,1.0,43.82,1
321,Ambalipura,1700.0,2.0,76.0,2
322,Ambalipura,1060.0,2.0,58.5,2
323,Ambalipura,1650.0,3.0,100.0,3
324,Ambalipura,1607.0,2.0,112.0,3
325,Ambalipura,1198.0,2.0,80.0,2
326,Ambedkar Nagar,1935.0,4.0,130.0,3
327,Ambedkar Nagar,1424.0,2.0,90.0,2
328,Ambedkar Nagar,2225.0,4.0,169.0,3
329,Ambedkar Nagar,1862.0,3.0,120.0,3
330,Ambedkar Nagar,1850.0,4.0,139.0,3
331,Ambedkar Nagar,1936.0,4.0,126.0,3
332,Ambedkar Nagar,1862.0,3.0,119.0,3
333,Ambedkar Nagar,1424.0,2.0,90.0,2
334,Ambedkar Nagar,2150.0,4.0,125.0,3
335,Ambedkar Nagar,3530.0,4.0,290.0,4
336,Ambedkar Nagar,1856.0,3.0,120.0,3
337,Ambedkar Nagar,1852.0,3.0,130.0,3
338,Ambedkar Nagar,1850.0,4.0,120.0,3
339,Ambedkar Nagar,1367.0,2.0,86.0,2
340,Ambedkar Nagar,3565.0,4.0,255.0,4
341,Ambedkar Nagar,1409.0,2.0,95.0,2
342,Ambedkar Nagar,1950.0,4.0,120.0,3
343,Ambedkar Nagar,1921.0,4.0,129.0,3
344,Ambedkar Nagar,1920.0,4.0,121.0,3
345,Ambedkar Nagar,1935.0,4.0,125.0,3
346,Ambedkar Nagar,1852.0,4.0,122.0,3
347,Ambedkar Nagar,1950.0,4.0,120.0,3
348,Ambedkar Nagar,1852.0,3.0,125.0,3
349,Ambedkar Nagar,1850.0,4.0,121.0,3
350,Ambedkar Nagar,1425.0,2.0,94.0,2
351,Ambedkar Nagar,2395.0,4.0,150.0,3
352,Amruthahalli,900.0,2.0,40.0,2
353,Amruthahalli,1200.0,2.0,55.0,2
354,Amruthahalli,1900.0,3.0,135.0,3
355,Amruthahalli,924.0,2.0,45.0,2
356,Amruthahalli,900.0,2.0,60.0,2
357,Amruthahalli,1100.0,2.0,45.0,2
358,Amruthahalli,1200.0,2.0,55.0,2
359,Amruthahalli,1450.0,2.0,85.0,3
360,Amruthahalli,1200.0,2.0,55.0,2
361,Amruthahalli,1250.0,2.0,79.0,2
362,Amruthahalli,1190.0,2.0,50.0,2
363,Amruthahalli,1202.0,2.0,65.0,2
364,Amruthahalli,1340.0,2.0,75.0,2
365,Amruthahalli,2650.0,4.0,175.0,3
366,Amruthahalli,1450.0,2.0,90.0,3
367,Amruthahalli,1025.0,2.0,42.0,2
368,Amruthahalli,485.0,1.0,19.5,1
369,Anandapura,1167.0,2.0,43.76,2
370,Anandapura,1000.0,2.0,55.0,2
371,Anandapura,1141.0,2.0,42.79,2
372,Anandapura,1200.0,2.0,67.0,2
373,Anandapura,1200.0,2.0,58.0,2
374,Anandapura,1151.0,2.0,43.1,2
375,Anandapura,1141.0,2.0,42.75,2
376,Anandapura,900.0,2.0,48.0,2
377,Anandapura,1749.0,4.0,90.0,4
378,Anandapura,1151.0,2.0,42.9,2
379,Anandapura,1250.0,2.0,45.0,2
380,Anandapura,1151.0,2.0,43.16,2
381,Anandapura,1200.0,2.0,58.0,2
382,Anandapura,1200.0,2.0,66.0,3
383,Anandapura,1415.0,2.0,74.0,3
384,Anandapura,1200.0,2.0,50.0,2
385,Anandapura,1141.0,2.0,50.0,2
386,Ananth Nagar,500.0,1.0,14.0,1
387,Ananth Nagar,1100.0,2.0,31.5,2
388,Ananth Nagar,982.0,2.0,24.55,2
389,Ananth Nagar,500.0,2.0,14.0,1
390,Ananth Nagar,900.0,2.0,22.5,2
391,Ananth Nagar,908.0,2.0,26.0,2
392,Ananth Nagar,870.0,2.0,36.0,2
393,Ananth Nagar,937.0,2.0,35.0,2
394,Ananth Nagar,960.0,2.0,37.0,2
395,Ananth Nagar,500.0,1.0,14.0,1
396,Ananth Nagar,1000.0,2.0,29.7,2
397,Ananth Nagar,850.0,2.0,25.99,2
398,Ananth Nagar,902.0,2.0,25.26,2
399,Ananth Nagar,1470.0,3.0,54.0,3
400,Ananth Nagar,810.0,2.0,25.5,2
401,Ananth Nagar,890.0,2.0,27.0,2
402,Ananth Nagar,1200.0,2.0,36.0,2
403,Ananth Nagar,1319.0,3.0,42.0,3
404,Ananth Nagar,1000.0,2.0,25.0,2
405,Ananth Nagar,902.0,2.0,25.0,2
406,Ananth Nagar,930.0,2.0,25.99,2
407,Ananth Nagar,1074.0,2.0,26.85,2
408,Ananth Nagar,500.0,1.0,14.0,1
409,Ananth Nagar,1010.0,2.0,38.0,2
410,Ananth Nagar,992.0,2.0,24.8,2
411,Anekal,1200.0,1.0,36.0,2
412,Anekal,656.0,2.0,22.0,2
413,Anekal,620.0,2.0,22.0,2
414,Anekal,600.0,1.0,16.5,1
415,Anekal,925.0,2.0,40.0,2
416,Anekal,530.0,1.0,18.0,1
417,Anekal,1800.0,3.0,68.0,3
418,Anekal,1200.0,1.0,36.0,2
419,Anekal,1035.0,2.0,38.3,2
420,Anekal,888.0,2.0,34.0,2
421,Anekal,1200.0,2.0,36.1,2
422,Anekal,700.0,1.0,19.4,2
423,Anekal,1200.0,1.0,36.0,2
424,Anekal,1200.0,2.0,36.0,4
425,Anekal,766.0,2.0,28.0,2
426,Anekal,967.0,2.0,45.0,3
427,Anekal,620.0,1.0,23.5,2
428,Anekal,1150.0,3.0,45.0,3
429,Anekal,1200.0,1.0,36.0,2
430,Anekal,1200.0,1.0,36.0,2
431,Anekal,400.0,1.0,11.5,1
432,Anekal,456.0,1.0,15.0,1
433,Anekal,1200.0,1.0,36.0,2
434,Anekal,1200.0,1.0,36.0,2
435,Anekal,2400.0,4.0,95.0,3
436,Anekal,1200.0,2.0,36.1,2
437,Anekal,1200.0,2.0,36.1,2
438,Anekal,680.0,1.0,21.0,2
439,Anekal,420.0,1.0,12.5,1
440,Anekal,614.0,1.0,28.0,2
441,Anekal,1140.0,2.0,52.0,2
442,Anekal,625.0,1.0,25.0,2
443,Anjanapura,1850.0,4.0,86.0,4
444,Anjanapura,1070.0,2.0,39.0,2
445,Anjanapura,1500.0,3.0,121.0,3
446,Anjanapura,1070.0,2.0,37.0,2
447,Anjanapura,950.0,2.0,40.0,2
448,Anjanapura,1280.0,2.0,45.0,3
449,Anjanapura,710.0,2.0,25.0,2
450,Anjanapura,950.0,2.0,32.0,2
451,Anjanapura,1800.0,4.0,55.0,4
452,Anjanapura,1843.0,3.0,87.54,3
453,Anjanapura,1076.0,2.0,30.13,2
454,Anjanapura,950.0,2.0,30.0,2
455,Ardendale,1750.0,3.0,100.0,3
456,Ardendale,3198.0,4.0,200.0,4
457,Ardendale,2422.0,4.0,160.0,4
458,Ardendale,1750.0,3.0,100.0,3
459,Ardendale,3200.0,4.0,205.0,4
460,Ardendale,1728.0,3.0,95.0,3
461,Ardendale,2062.0,3.0,140.0,4
462,Ardendale,1732.46,3.0,92.0,3
463,Ardendale,2062.0,3.0,150.0,4
464,Ardendale,1224.0,2.0,70.0,2
465,Ardendale,1777.26,3.0,105.0,3
466,Ardendale,1650.0,3.0,82.0,3
467,Ardendale,2062.0,3.0,140.0,4
468,Ardendale,1650.0,3.0,82.0,3
469,Ardendale,1224.0,2.0,67.0,2
470,Ardendale,1723.0,3.0,95.0,3
471,Ardendale,1777.26,3.0,89.0,3
472,Ardendale,1777.26,3.0,92.0,3
473,Arekere,2060.0,3.0,140.0,3
474,Arekere,920.0,2.0,40.0,2
475,Arekere,1740.0,2.0,95.0,3
476,Arekere,1190.0,2.0,55.0,2
477,Arekere,600.0,1.0,28.0,1
478,Arekere,2072.0,3.0,108.0,3
479,Arekere,1100.0,2.0,55.0,2
480,Arekere,900.0,2.0,50.0,2
481,Arekere,2710.0,6.0,142.0,4
482,Arekere,1240.0,2.0,60.0,2
483,Arekere,900.0,2.0,44.5,2
484,Attibele,450.0,1.0,11.0,1
485,Attibele,1600.0,4.0,52.8,4
486,Attibele,656.0,2.0,25.0,2
487,Attibele,400.0,1.0,11.0,1
488,Attibele,400.0,1.0,12.0,1
489,Attibele,400.0,1.0,14.0,1
490,Attibele,500.0,1.0,17.0,1
491,Attibele,2168.0,4.0,95.0,4
492,Attibele,395.0,1.0,10.25,1
493,Attibele,420.0,1.0,17.0,1
494,Attibele,418.0,1.0,12.0,1
495,Attibele,1200.0,2.0,42.0,2
496,Attibele,400.0,1.0,10.0,1
497,Attibele,695.0,1.0,25.0,2
498,Attibele,850.0,1.0,25.0,2
499,Attibele,2400.0,3.0,120.0,3
500,Attibele,450.0,1.0,12.5,1
501,Attibele,782.0,1.0,19.55,1
502,Attibele,656.0,2.0,25.0,2
503,Attibele,400.0,1.0,11.5,1
504,Attibele,460.0,1.0,13.0,1
505,Attibele,418.0,2.0,11.5,1
506,Attibele,1000.0,2.0,42.0,2
507,Attibele,550.0,1.0,11.5,1
508,Attibele,410.0,1.0,10.0,1
509,Attibele,1700.0,3.0,65.0,3
510,Attibele,400.0,1.0,10.25,1
511,Attibele,656.0,2.0,25.0,2
512,Attibele,1500.0,3.0,90.0,3
513,Attibele,520.0,1.0,15.0,1
514,BEML Layout,1060.0,2.0,55.0,2
515,BEML Layout,999.0,2.0,45.0,2
516,BEML Layout,2400.0,4.0,225.0,5
517,BEML Layout,1194.0,2.0,65.0,2
518,BEML Layout,1200.0,2.0,67.0,2
519,BEML Layout,2400.0,2.0,228.0,2
520,BEML Layout,1194.0,2.0,65.0,2
521,BTM 2nd Stage,1260.0,5.0,185.0,3
522,BTM 2nd Stage,950.0,2.0,52.0,2
523,BTM 2nd Stage,1850.0,3.0,170.0,3
524,BTM 2nd Stage,1200.0,2.0,80.0,2
525,BTM 2nd Stage,1274.0,2.0,70.0,2
526,BTM 2nd Stage,1070.0,2.0,48.0,2
527,BTM 2nd Stage,1280.0,2.0,80.0,2
528,BTM 2nd Stage,1100.0,2.0,70.0,2
